Gene symbol;Element subtype;Class;;;;;;;;;
mef(C);AMR;MACROLIDE;;;;;;;;;
mph(F);AMR;MACROLIDE;;;;;;;;;
ere(B);AMR;MACROLIDE;;;;;;;;;
mef(B);AMR;MACROLIDE;;;;;;;;;
mph(B);AMR;MACROLIDE;;;;;;;;;
msr(E);AMR;MACROLIDE/STREPTOGRAMIN;;;;;;;;;
msr(A);AMR;MACROLIDE/STREPTOGRAMIN;;;;;;;;;
merR;METAL;MERCURY;;;;;;;;;
merT;METAL;MERCURY;;;;;;;;;
merP;METAL;MERCURY;;;;;;;;;
merC;METAL;MERCURY;;;;;;;;;
merE;METAL;MERCURY;;;;;;;;;
merD;METAL;MERCURY;;;;;;;;;
merA;METAL;MERCURY;;;;;;;;;
merF;METAL;MERCURY;;;;;;;;;
merB;METAL;MERCURY;;;;;;;;;
merR2;METAL;MERCURY;;;;;;;;;
merR1;METAL;MERCURY;;;;;;;;;
mupA;AMR;MUPIROCIN;;;;;;;;;
ncrB;METAL;NICKEL;;;;;;;;;
ncrA;METAL;NICKEL;;;;;;;;;
ncrY;METAL;NICKEL;;;;;;;;;
nirD;METAL;NICKEL;;;;;;;;;
nirB;METAL;NICKEL;;;;;;;;;
catA1;AMR;PHENICOL;;;;;;;;;
catB3;AMR;PHENICOL;;;;;;;;;
floR2;AMR;PHENICOL;;;;;;;;;
cmlA5;AMR;PHENICOL;;;;;;;;;
floR;AMR;PHENICOL;;;;;;;;;
cmlB;AMR;PHENICOL;;;;;;;;;
cmlA1;AMR;PHENICOL;;;;;;;;;
catA2;AMR;PHENICOL;;;;;;;;;
catA;AMR;PHENICOL;;;;;;;;;
catB;AMR;PHENICOL;;;;;;;;;
catB2;AMR;PHENICOL;;;;;;;;;
cmlA4;AMR;PHENICOL;;;;;;;;;
cmx;AMR;PHENICOL;;;;;;;;;
fexA;AMR;PHENICOL;;;;;;;;;
fexB;AMR;PHENICOL;;;;;;;;;
cmlA;AMR;PHENICOL;;;;;;;;;
cmlA6;AMR;PHENICOL;;;;;;;;;
catB7;AMR;PHENICOL;;;;;;;;;
catB8;AMR;PHENICOL;;;;;;;;;
cfr;AMR;PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN;;;;;;;;;
oqxA;AMR;PHENICOL/QUINOLONE;;;;;;;;;
oqxB19;AMR;PHENICOL/QUINOLONE;;;;;;;;;
qacEdelta1;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacE;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacC;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacG;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacA;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacR;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacJ;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacF;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacG2;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacL;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
smr;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qacB;BIOCIDE;QUATERNARY AMMONIUM;;;;;;;;;
qnrB19;AMR;QUINOLONE;;;;;;;;;
qnrS1;AMR;QUINOLONE;;;;;;;;;
qnrB1;AMR;QUINOLONE;;;;;;;;;
qnrA6;AMR;QUINOLONE;;;;;;;;;
qnrS2;AMR;QUINOLONE;;;;;;;;;
qnrA1;AMR;QUINOLONE;;;;;;;;;
qnrB4;AMR;QUINOLONE;;;;;;;;;
qnrD1;AMR;QUINOLONE;;;;;;;;;
qnrB9;AMR;QUINOLONE;;;;;;;;;
qnrB6;AMR;QUINOLONE;;;;;;;;;
qnrB;AMR;QUINOLONE;;;;;;;;;
qnrS13;AMR;QUINOLONE;;;;;;;;;
qnrB7;AMR;QUINOLONE;;;;;;;;;
qepA4;AMR;QUINOLONE;;;;;;;;;
qnrE2;AMR;QUINOLONE;;;;;;;;;
qnrS;AMR;QUINOLONE;;;;;;;;;
qnrVC1;AMR;QUINOLONE;;;;;;;;;
qepA;AMR;QUINOLONE;;;;;;;;;
qnrA;AMR;QUINOLONE;;;;;;;;;
qnrB10;AMR;QUINOLONE;;;;;;;;;
qepA9;AMR;QUINOLONE;;;;;;;;;
qnrB2;AMR;QUINOLONE;;;;;;;;;
qepA1;AMR;QUINOLONE;;;;;;;;;
qepA8;AMR;QUINOLONE;;;;;;;;;
qnrVC6;AMR;QUINOLONE;;;;;;;;;
qnrS11;AMR;QUINOLONE;;;;;;;;;
arr-2;AMR;RIFAMYCIN;;;;;;;;;
arr-3;AMR;RIFAMYCIN;;;;;;;;;
arr;AMR;RIFAMYCIN;;;;;;;;;
silP;METAL;SILVER;;;;;;;;;
silE;METAL;SILVER;;;;;;;;;
sat4;AMR;STREPTOTHRICIN;;;;;;;;;
sat2;AMR;STREPTOTHRICIN;;;;;;;;;
sul1;AMR;SULFONAMIDE;;;;;;;;;
sul2;AMR;SULFONAMIDE;;;;;;;;;
sul3;AMR;SULFONAMIDE;;;;;;;;;
terE;METAL;TELLURIUM;;;;;;;;;
terD;METAL;TELLURIUM;;;;;;;;;
terC;METAL;TELLURIUM;;;;;;;;;
terB;METAL;TELLURIUM;;;;;;;;;
terZ;METAL;TELLURIUM;;;;;;;;;
terW;METAL;TELLURIUM;;;;;;;;;
tet(K);AMR;TETRACYCLINE;;;;;;;;;
tet(G);AMR;TETRACYCLINE;;;;;;;;;
tet(A);AMR;TETRACYCLINE;;;;;;;;;
tet(B);AMR;TETRACYCLINE;;;;;;;;;
tet(L);AMR;TETRACYCLINE;;;;;;;;;
tet(C);AMR;TETRACYCLINE;;;;;;;;;
tet(D);AMR;TETRACYCLINE;;;;;;;;;
tet(39);AMR;TETRACYCLINE;;;;;;;;;
tet(M);AMR;TETRACYCLINE;;;;;;;;;
tet(33);AMR;TETRACYCLINE;;;;;;;;;
toprJ1;AMR;TETRACYCLINE;;;;;;;;;
tmexD3;AMR;TETRACYCLINE;;;;;;;;;
tmexC3;AMR;TETRACYCLINE;;;;;;;;;
tet(X4);AMR;TETRACYCLINE;;;;;;;;;
tet(38);AMR;TETRACYCLINE;;;;;;;;;
dfrA1;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA12;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA17;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA19;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA14;AMR;TRIMETHOPRIM;;;;;;;;;
dfrS1;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA15;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA16;AMR;TRIMETHOPRIM;;;;;;;;;
dfrB1;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA5;AMR;TRIMETHOPRIM;;;;;;;;;
dfrE;AMR;TRIMETHOPRIM;;;;;;;;;
dfrK;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA8;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA7;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA27;AMR;TRIMETHOPRIM;;;;;;;;;
dfrB2;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA23;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA10;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA30;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA45;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA4;AMR;TRIMETHOPRIM;;;;;;;;;
dfrG;AMR;TRIMETHOPRIM;;;;;;;;;
dfrA25;AMR;TRIMETHOPRIM;;;;;;;;;
dfrB4;AMR;TRIMETHOPRIM;;;;;;;;;
dfrB9;AMR;TRIMETHOPRIM;;;;;;;;;
dfrB5;AMR;TRIMETHOPRIM;;;;;;;;;
ariR;ACID;ACID;;;;;;;;;
asr;ACID;ACID;;;;;;;;;
hsp20;HEAT;HEAT;;;;;;;;;
clpK;HEAT;HEAT;;;;;;;;;
psi-GI;HEAT;HEAT;;;;;;;;;
kefB-GI;HEAT;HEAT;;;;;;;;;
trxLHR;HEAT;HEAT;;;;;;;;;
hdeD-GI;HEAT;HEAT;;;;;;;;;
yfdX2;HEAT;HEAT;;;;;;;;;
yfdX1;HEAT;HEAT;;;;;;;;;
shsP;HEAT;HEAT;;;;;;;;;
fieF;METAL;METAL UNKNOWN;;;;;;;;;
senB;VIRULENCE;VIRULENCE;;;;;;;;;
iucA;VIRULENCE;VIRULENCE;;;;;;;;;
iucB;VIRULENCE;VIRULENCE;;;;;;;;;
iucC;VIRULENCE;VIRULENCE;;;;;;;;;
iutA;VIRULENCE;VIRULENCE;;;;;;;;;
iucD;VIRULENCE;VIRULENCE;;;;;;;;;
ser;VIRULENCE;VIRULENCE;;;;;;;;;
sej;VIRULENCE;VIRULENCE;;;;;;;;;
sed;VIRULENCE;VIRULENCE;;;;;;;;;
sel31;VIRULENCE;VIRULENCE;;;;;;;;;
sel32;VIRULENCE;VIRULENCE;;;;;;;;;
ses;VIRULENCE;VIRULENCE;;;;;;;;;
set;VIRULENCE;VIRULENCE;;;;;;;;;
iss;VIRULENCE;VIRULENCE;;;;;;;;;
iroB;VIRULENCE;VIRULENCE;;;;;;;;;
iroC;VIRULENCE;VIRULENCE;;;;;;;;;
iroD;VIRULENCE;VIRULENCE;;;;;;;;;
iroE;VIRULENCE;VIRULENCE;;;;;;;;;
iroN;VIRULENCE;VIRULENCE;;;;;;;;;
nfaE;VIRULENCE;VIRULENCE;;;;;;;;;
afaC;VIRULENCE;VIRULENCE;;;;;;;;;
sel30;VIRULENCE;VIRULENCE;;;;;;;;;
peg-344;VIRULENCE;VIRULENCE;;;;;;;;;
rmpC;VIRULENCE;VIRULENCE;;;;;;;;;
rmpD;VIRULENCE;VIRULENCE;;;;;;;;;
rmpA;VIRULENCE;VIRULENCE;;;;;;;;;
espX1;VIRULENCE;VIRULENCE;;;;;;;;;
capU;VIRULENCE;VIRULENCE;;;;;;;;;
astA;VIRULENCE;VIRULENCE;;;;;;;;;
etb;VIRULENCE;VIRULENCE;;;;;;;;;
mchF;VIRULENCE;VIRULENCE;;;;;;;;;
cvaC;VIRULENCE;VIRULENCE;;;;;;;;;
aap;VIRULENCE;VIRULENCE;;;;;;;;;
eatA;VIRULENCE;VIRULENCE;;;;;;;;;
epeA;VIRULENCE;VIRULENCE;;;;;;;;;
hlyA-alpha;VIRULENCE;VIRULENCE;;;;;;;;;
fedA;VIRULENCE;VIRULENCE;;;;;;;;;
fedF;VIRULENCE;VIRULENCE;;;;;;;;;
etpD;VIRULENCE;VIRULENCE;;;;;;;;;
ehxA;VIRULENCE;VIRULENCE;;;;;;;;;
rmpA2;VIRULENCE;VIRULENCE;;;;;;;;;
aggR;VIRULENCE;VIRULENCE;;;;;;;;;
aar;VIRULENCE;VIRULENCE;;;;;;;;;
aatA;VIRULENCE;VIRULENCE;;;;;;;;;
aggD;VIRULENCE;VIRULENCE;;;;;;;;;
aggC;VIRULENCE;VIRULENCE;;;;;;;;;
aggB;VIRULENCE;VIRULENCE;;;;;;;;;
aggA;VIRULENCE;VIRULENCE;;;;;;;;;
